Date,Price,Open,High,Low,Vol.,Change %
7/30/2013,"1,686.00","1,687.90","1,693.20","1,682.40",,0.04%
7/29/2013,"1,685.30","1,690.30","1,690.90","1,681.90",,-0.38%
7/26/2013,"1,691.70","1,687.30","1,691.80","1,676.00",,0.09%
7/25/2013,"1,690.20","1,685.20","1,690.90","1,680.10",,0.26%
7/24/2013,"1,685.90","1,696.10","1,698.40","1,682.60",,-0.38%
7/23/2013,"1,692.40","1,696.60","1,698.80","1,691.10",,-0.18%
7/22/2013,"1,695.50","1,694.40","1,697.60","1,690.70",,0.20%
7/19/2013,"1,692.10","1,686.20","1,692.10","1,684.10",,0.16%
7/18/2013,"1,689.40","1,681.00","1,693.10","1,681.00",,0.51%
7/17/2013,"1,680.90","1,677.90","1,684.80","1,677.90",,0.27%
7/16/2013,"1,676.30","1,682.70","1,683.70","1,671.80",,-0.37%
7/15/2013,"1,682.50","1,679.60","1,684.50","1,677.90",,0.14%
7/12/2013,"1,680.20","1,675.30","1,680.20","1,672.30",,0.31%
7/11/2013,"1,675.00","1,657.40","1,676.60","1,657.40",,1.36%
7/10/2013,"1,652.60","1,651.60","1,657.90","1,647.70",,0.02%
7/9/2013,"1,652.30","1,642.90","1,654.20","1,642.90",,0.72%
7/8/2013,"1,640.50","1,634.20","1,644.70","1,634.20",,0.53%
7/5/2013,"1,631.90","1,618.70","1,632.10","1,614.70",,1.02%
7/3/2013,"1,615.40","1,611.50","1,619.00","1,604.60",,0.08%
7/2/2013,"1,614.10","1,614.30","1,624.30","1,606.80",,-0.06%
7/1/2013,"1,615.00","1,609.80","1,626.60","1,609.80",,0.54%
6/28/2013,"1,606.30","1,611.10","1,615.90","1,601.10",,-0.43%
6/27/2013,"1,613.20","1,606.40","1,620.10","1,606.40",,0.62%
6/26/2013,"1,603.30","1,592.30","1,606.80","1,592.30",,0.96%
6/25/2013,"1,588.00","1,577.50","1,593.80","1,577.10",,0.95%
6/24/2013,"1,573.10","1,588.80","1,588.80","1,560.30",,-1.21%
6/21/2013,"1,592.40","1,588.60","1,599.20","1,577.70",,0.26%
6/20/2013,"1,588.20","1,624.60","1,624.60","1,584.30",,-2.50%
6/19/2013,"1,628.90","1,651.80","1,652.50","1,628.90",,-1.39%
6/18/2013,"1,651.80","1,639.80","1,654.20","1,639.80",,0.78%
6/17/2013,"1,639.00","1,630.60","1,646.50","1,630.30",,0.76%
6/14/2013,"1,626.70","1,635.50","1,640.80","1,624.00",,-0.59%
6/13/2013,"1,636.40","1,612.20","1,639.20","1,608.10",,1.48%
6/12/2013,"1,612.50","1,629.90","1,637.70","1,610.90",,-0.84%
6/11/2013,"1,626.10","1,638.60","1,640.10","1,622.90",,-1.02%
6/10/2013,"1,642.80","1,644.70","1,648.70","1,639.30",,-0.04%
6/7/2013,"1,643.40","1,625.30","1,644.40","1,625.30",,1.28%
6/6/2013,"1,622.60","1,609.30","1,622.60","1,598.20",,0.85%
6/5/2013,"1,608.90","1,629.00","1,629.30","1,607.10",,-1.38%
6/4/2013,"1,631.40","1,640.70","1,646.50","1,623.60",,-0.55%
6/3/2013,"1,640.40","1,631.70","1,640.40","1,622.70",,0.59%
5/31/2013,"1,630.70","1,652.10","1,659.00","1,630.70",,-1.43%
5/30/2013,"1,654.40","1,649.10","1,661.90","1,648.60",,0.36%
5/29/2013,"1,648.40","1,656.60","1,656.60","1,640.00",,-0.70%
5/28/2013,"1,660.10","1,652.60","1,674.20","1,652.60",,0.64%
5/24/2013,"1,649.60","1,646.70","1,649.80","1,636.90",,-0.05%
5/23/2013,"1,650.50","1,651.60","1,655.50","1,635.50",,-0.29%
5/22/2013,"1,655.30","1,669.40","1,687.20","1,648.90",,-0.83%
5/21/2013,"1,669.20","1,666.20","1,674.90","1,662.70",,0.17%
5/20/2013,"1,666.30","1,665.70","1,672.80","1,663.50",,-0.07%
5/17/2013,"1,667.50","1,652.50","1,667.50","1,652.50",,1.03%
5/16/2013,"1,650.50","1,658.10","1,660.50","1,648.60",,-0.50%
5/15/2013,"1,658.80","1,649.10","1,661.50","1,646.70",,0.52%
5/14/2013,"1,650.30","1,633.80","1,651.10","1,633.80",,1.01%
5/13/2013,"1,633.80","1,632.10","1,636.00","1,626.70",,0.01%
5/10/2013,"1,633.70","1,626.70","1,633.70","1,623.70",,0.43%
5/9/2013,"1,626.70","1,632.70","1,635.00","1,623.10",,-0.37%
5/8/2013,"1,632.70","1,626.00","1,632.80","1,622.70",,0.41%
5/7/2013,"1,626.00","1,617.50","1,626.00","1,616.60",,0.53%
5/6/2013,"1,617.50","1,614.40","1,619.80","1,614.20",,0.19%
5/3/2013,"1,614.40","1,597.60","1,618.50","1,597.60",,1.05%
5/2/2013,"1,597.60","1,582.80","1,598.60","1,582.80",,0.94%
5/1/2013,"1,582.70","1,597.50","1,597.50","1,581.30",,-0.93%
4/30/2013,"1,597.60","1,593.60","1,597.60","1,586.50",,0.25%
4/29/2013,"1,593.60","1,582.30","1,596.70","1,582.30",,0.72%
4/26/2013,"1,582.20","1,585.20","1,585.80","1,577.60",,-0.19%
4/25/2013,"1,585.20","1,578.90","1,592.60","1,578.90",,0.41%
4/24/2013,"1,578.80","1,578.80","1,583.00","1,575.80",,0.00%
4/23/2013,"1,578.80","1,562.50","1,579.60","1,562.50",,1.04%
4/22/2013,"1,562.50","1,555.20","1,565.50","1,548.20",,0.47%
4/19/2013,"1,555.20","1,541.60","1,555.90","1,539.40",,0.88%
4/18/2013,"1,541.60","1,552.00","1,554.40","1,536.00",,-0.67%
4/17/2013,"1,552.00","1,574.60","1,574.60","1,543.70",,-1.44%
4/16/2013,"1,574.60","1,552.40","1,575.30","1,552.40",,1.43%
4/15/2013,"1,552.40","1,588.80","1,588.80","1,552.30",,-2.29%
4/12/2013,"1,588.80","1,593.30","1,593.30","1,580.00",,-0.29%
4/11/2013,"1,593.40","1,587.70","1,597.30","1,586.20",,0.36%
4/10/2013,"1,587.70","1,568.60","1,589.10","1,568.60",,1.22%
4/9/2013,"1,568.60","1,563.10","1,573.90","1,560.90",,0.35%
4/8/2013,"1,563.10","1,553.30","1,563.10","1,548.60",,0.63%
4/5/2013,"1,553.30","1,560.00","1,560.00","1,539.50",,-0.43%
4/4/2013,"1,560.00","1,553.70","1,562.60","1,552.50",,0.41%
4/3/2013,"1,553.70","1,570.20","1,571.50","1,549.80",,-1.05%
4/2/2013,"1,570.20","1,562.20","1,573.70","1,562.20",,0.51%
4/1/2013,"1,562.20","1,569.20","1,570.60","1,558.50",,-0.45%
3/28/2013,"1,569.20","1,562.90","1,570.30","1,561.10",,0.41%
3/27/2013,"1,562.80","1,563.80","1,564.10","1,551.90",,-0.06%
3/26/2013,"1,563.80","1,551.70","1,564.00","1,551.70",,0.78%
3/25/2013,"1,551.70","1,556.90","1,564.90","1,546.20",,-0.33%
3/22/2013,"1,556.90","1,545.90","1,557.70","1,545.90",,0.72%
3/21/2013,"1,545.80","1,558.70","1,558.70","1,543.50",,-0.83%
3/20/2013,"1,558.70","1,548.30","1,561.60","1,548.30",,0.67%
3/19/2013,"1,548.30","1,552.10","1,557.20","1,538.60",,-0.24%
3/18/2013,"1,552.10","1,560.70","1,560.70","1,545.10",,-0.55%
3/15/2013,"1,560.70","1,563.20","1,563.60","1,555.70",,-0.16%
3/14/2013,"1,563.20","1,554.50","1,563.30","1,554.50",,0.56%
3/13/2013,"1,554.50","1,552.50","1,556.40","1,548.20",,0.13%
3/12/2013,"1,552.50","1,556.20","1,556.80","1,548.20",,-0.24%
3/11/2013,"1,556.20","1,551.20","1,556.30","1,547.40",,0.32%
3/8/2013,"1,551.20","1,544.30","1,552.50","1,542.90",,0.45%
3/7/2013,"1,544.30","1,541.50","1,545.80","1,541.50",,0.18%
3/6/2013,"1,541.50","1,539.80","1,545.20","1,538.10",,0.11%
3/5/2013,"1,539.80","1,525.20","1,543.50","1,525.20",,0.96%
3/4/2013,"1,525.20","1,518.20","1,525.30","1,512.30",,0.46%
3/1/2013,"1,518.20","1,514.70","1,520.00","1,501.50",,0.23%
2/28/2013,"1,514.70","1,516.00","1,525.30","1,514.50",,-0.09%
