base_btc_allocation,buy_tiers,sell_tiers,median_value,mean_value,std_value,cagr,max_value,min_value,percentile_25,percentile_75,median_improvement,mean_improvement,cagr_improvement,sharpe_ratio,win_rate,beat_baseline_rate
40,"[(10, 30), (20, 40), (30, 50)]","[(20, 15), (40, 25), (60, 35)]",57122.245115516154,62415.33344334948,23707.54399948254,-0.9782029577522833,192725.98044661235,21827.544528088976,46936.14996411798,72021.99857240648,4.391049559732909,4.462236619451275,0.8474207597515493,0.11245998092028492,56.39999999999999,56.39999999999999
60,"[(20, 40), (40, 60)]","[(25, 30), (50, 50)]",57111.52883697115,62742.84450304932,28966.729494262963,-0.9819185848091827,263577.6520277667,18935.120204337894,44087.90969690672,75249.63709450998,4.3714655331872905,5.010379774769094,0.8437051326946499,0.10334825704577277,55.00000000000001,55.00000000000001
40,"[(15, 25), (25, 35), (35, 45)]","[(20, 15), (40, 25), (60, 35)]",57098.04621168057,61107.85475488358,20820.574452927354,-0.9865941723840366,171910.72390487872,22596.409334271037,46758.882302365986,71433.95867709242,4.346826000863978,2.2739578649464667,0.839029545119796,0.0652561849556312,53.800000000000004,53.800000000000004
30,"[(10, 20), (20, 30), (30, 40)]","[(20, 25), (40, 35), (60, 45)]",57072.693879892744,60151.800896109205,16616.60945180296,-0.9953884020665771,118790.9190918822,25914.870841964577,48084.5970075794,69669.42586817293,4.3004945494519085,0.6738458587056428,0.8302353154372555,0.02422981654447319,56.00000000000001,56.00000000000001
50,"[(20, 40), (40, 60)]","[(15, 10), (30, 20), (45, 30)]",57054.48374954043,63809.95910010708,29513.991449296154,-1.0017070700751196,249441.5033997698,21631.810001960617,44775.85760536477,73033.00759337888,4.267215489494556,6.796370033702755,0.823916647428713,0.13758815406524963,55.60000000000001,55.60000000000001
40,"[(10, 30), (20, 40), (30, 50)]","[(15, 10), (30, 20), (45, 30)]",57043.42395910469,61887.01076700799,23207.50680280865,-1.0055454547491793,165286.81330191926,24680.579554378484,45763.260867512014,71438.95252165166,4.247003694086966,3.578002483659961,0.8200782627546532,0.09211792062249449,54.2,54.2
50,"[(5, 15), (15, 25), (25, 35)]","[(25, 30), (50, 50)]",56954.43313368087,61420.53281608949,23308.23660896427,-1.0364520874220018,224794.38969464687,24311.13662812372,46572.74246638985,71176.53233725252,4.084372732219245,2.7972755789349666,0.7891716300818308,0.07170638202401967,53.2,53.2
60,"[(15, 25), (25, 35), (35, 45)]","[(30, 20), (50, 30), (70, 40)]",56906.370152553995,63615.15762695685,32569.57270020595,-1.0531604953781915,388148.3560473809,16139.268828609052,42964.846492857185,76138.15068254537,3.9965375108504495,6.470338008246906,0.7724632221256411,0.11869895147354943,53.800000000000004,53.800000000000004
50,"[(10, 20), (20, 30), (30, 40)]","[(15, 10), (30, 20), (45, 30)]",56831.92415084874,61814.545978029026,23586.12944114615,-1.0790628828642679,204409.68289923717,21840.523669912935,44652.89413605557,74490.86830279711,3.860487251659459,3.456720844753558,0.7465608346395647,0.08756682548028111,56.00000000000001,56.00000000000001
50,"[(5, 15), (15, 25), (25, 35)]","[(20, 25), (40, 35), (60, 45)]",56826.70560553365,62963.34894012031,24542.75725538851,-1.0808796165484802,178323.62599907827,27036.86545273551,46209.36619425639,73836.07848655718,3.850950346702109,5.379429900918881,0.7447441009553524,0.1309618723427565,56.8,56.8
60,"[(10, 20), (20, 30), (30, 40)]","[(20, 15), (40, 25), (60, 35)]",56825.2961873474,62880.02281768026,29443.8734492107,-1.0813703005989383,332798.76157906454,22504.963704831534,44807.4467094553,72467.62364002077,3.8483746313492904,5.239970049649894,0.7442534169048942,0.1063324540359798,54.0,54.0
70,"[(10, 20), (20, 30), (30, 40)]","[(30, 20), (50, 30), (70, 40)]",56791.139674622566,64336.68072464688,32967.71704502973,-1.09326475009357,315965.08289700316,17409.762638933356,43492.55440605988,74816.00747627762,3.7859535166778526,7.677924548270862,0.7323589674102626,0.13915119511854826,53.6,53.6
70,"[(5, 15), (15, 25), (25, 35)]","[(25, 30), (50, 50)]",56704.842721605346,63718.88601377268,30387.171325568128,-1.1233417748685581,269869.29936761013,18813.073659346945,44711.53341092344,76214.26429778738,3.6282456135473526,6.64394437530324,0.7022819426352744,0.13063744807769143,55.00000000000001,55.00000000000001
30,"[(20, 40), (40, 60)]","[(20, 15), (40, 25), (60, 35)]",56664.60836535206,60717.089740631716,21877.89802420849,-1.1373771484625594,218142.0688050292,23497.33039463778,46398.236089909245,69099.03119473289,3.554717224228151,1.6199489038563022,0.6882465690412731,0.044241281409203075,55.800000000000004,55.800000000000004
50,"[(10, 20), (20, 30), (30, 40)]","[(25, 30), (50, 50)]",56637.06180276501,63021.787386083706,27058.89963219067,-1.1469911040544067,392394.33055814955,26049.13402088506,46885.72356531469,72308.38745099975,3.504375810398745,5.47723616795488,0.6786326134494258,0.12094371659849709,54.0,54.0
60,"[(15, 25), (25, 35), (35, 45)]","[(20, 15), (40, 25), (60, 35)]",56607.19994868586,62621.34585159908,30047.548455078053,-1.1574173401341592,308012.55002903147,20321.189608648438,43742.98840330888,73011.22682730318,3.4498031954250505,4.80703197260989,0.6682063773696734,0.09558724427692274,53.0,53.0
60,"[(20, 40), (40, 60)]","[(20, 25), (40, 35), (60, 45)]",56589.000119081385,62312.41542003146,31465.693934713945,-1.1637739504488764,280605.66244667437,15928.661675136409,41949.01041077585,73326.36576142855,3.4165429601108124,4.289986527828972,0.6618497670549561,0.08146115982215031,53.6,53.6
70,"[(15, 25), (25, 35), (35, 45)]","[(20, 25), (40, 35), (60, 45)]",56570.605871808926,62356.716966303604,27323.325148690208,-1.1702001265690543,232520.90278881817,22205.72090458264,44154.39867256679,74854.1264450406,3.3829274260093403,4.364132388372821,0.6554235909347783,0.09543250884044543,52.800000000000004,52.800000000000004
70,"[(10, 20), (20, 30), (30, 40)]","[(20, 15), (40, 25), (60, 35)]",56529.46060119003,64237.87865811673,34020.3439129952,-1.1845806068486175,377127.2179723553,13553.066666888533,42626.464212690924,77516.5232625678,3.307734338349016,7.512563181392459,0.641043110655215,0.1319414986543173,52.2,52.2
50,"[(5, 15), (15, 25), (25, 35)]","[(30, 20), (50, 30), (70, 40)]",56518.8892564651,60912.880237969875,22233.594446283587,-1.1882766973460357,166994.3957223209,23564.669415829332,45584.819192274044,71143.66056760873,3.2884151787315776,1.9476362225396588,0.6373470201577969,0.052339568542572316,54.0,54.0
40,"[(10, 20), (20, 30), (30, 40)]","[(25, 30), (50, 50)]",56515.273633096636,61084.19997646941,21277.108843882175,-1.1895409653559064,249560.797981898,24505.236864966668,46273.765410732005,71314.7312987576,3.281807617745771,2.234367736630897,0.6360827521479262,0.06274426139209274,54.400000000000006,54.400000000000006
