Date,Price,Open,High,Low,Change %
2016-10-04,2875.07,2892.31,2895.12,2866.38,-0.50%
2016-10-05,2887.09,2881.08,2892.71,2881.08,0.43%
2016-10-06,2888.29,2884.82,2891.1,2874.26,0.05%
2016-10-07,2878.53,2892.56,2894.84,2866.64,-0.33%
2016-10-10,2891.08,2886.67,2898.96,2886.67,0.46%
2016-10-11,2854.73,2887.6,2888.0,2844.18,-1.25%
2016-10-12,2857.8,2855.8,2866.09,2849.25,0.12%
2016-10-13,2848.72,2845.65,2856.2,2824.81,-0.31%
2016-10-14,2848.99,2857.93,2870.62,2848.99,0.02%
2016-10-17,2839.5,2848.05,2851.65,2836.7,-0.30%
2016-10-18,2856.72,2854.99,2863.13,2851.25,0.62%
2016-10-19,2862.73,2858.06,2868.2,2854.59,0.22%
2016-10-20,2858.46,2860.06,2866.33,2847.91,-0.14%
2016-10-21,2858.05,2855.65,2859.92,2843.24,0.00%
2016-10-24,2870.72,2866.99,2875.39,2864.85,0.47%
2016-10-25,2859.64,2868.32,2870.59,2857.91,-0.38%
2016-10-26,2854.31,2851.1,2862.71,2843.9,-0.18%
2016-10-27,2845.5,2860.31,2864.31,2844.83,-0.30%
2016-10-28,2836.43,2844.16,2855.5,2827.09,-0.31%
2016-10-31,2835.36,2840.16,2844.69,2834.43,-0.01%
2016-11-01,2815.76,2838.43,2842.03,2797.22,-0.68%
2016-11-02,2797.09,2812.43,2815.63,2791.89,-0.65%
2016-11-03,2784.56,2798.03,2803.1,2779.9,-0.44%
2016-11-04,2779.64,2777.77,2798.17,2777.77,-0.17%
2016-11-07,2840.55,2799.37,2841.22,2799.37,2.22%
2016-11-08,2851.08,2838.15,2860.81,2829.76,0.38%
2016-11-09,2882.39,2840.15,2891.45,2831.76,1.11%
2016-11-10,2887.71,2887.71,2907.43,2866.0,0.19%
2016-11-11,2883.31,2881.05,2885.31,2867.46,-0.14%
2016-11-14,2882.23,2884.1,2891.82,2871.44,-0.01%
2016-11-15,2903.53,2887.42,2904.06,2884.89,0.75%
2016-11-16,2898.6,2899.4,2901.66,2892.34,-0.16%
2016-11-17,2911.91,2900.59,2913.24,2898.06,0.47%
2016-11-18,2904.71,2911.23,2915.36,2902.71,-0.24%
2016-11-21,2925.58,2909.88,2926.25,2909.88,0.75%
2016-11-22,2931.56,2929.83,2934.09,2920.38,0.21%
2016-11-23,2933.68,2925.56,2933.68,2920.11,0.08%
2016-11-25,2944.57,2935.26,2944.57,2935.26,0.39%
2016-11-28,2928.31,2939.61,2940.81,2926.58,-0.52%
2016-11-29,2932.02,2926.84,2939.74,2923.38,0.14%
2016-11-30,2923.9,2932.15,2944.25,2923.9,-0.27%
2016-12-01,2913.39,2925.49,2928.68,2908.47,-0.35%
2016-12-02,2914.18,2913.11,2922.15,2909.52,0.04%
2016-12-05,2930.37,2925.05,2936.61,2924.12,0.58%
2016-12-06,2940.06,2933.55,2940.85,2926.77,0.34%
2016-12-07,2978.45,2937.79,2978.85,2935.4,1.32%
2016-12-08,2984.68,2977.91,2991.99,2973.25,0.22%
2016-12-09,3002.07,2989.05,3002.47,2988.39,0.59%
2016-12-12,2997.9,3000.29,3007.2,2991.79,-0.11%
2016-12-13,3017.14,3005.99,3024.85,3005.99,0.65%
2016-12-14,2992.42,3012.34,3022.84,2985.92,-0.81%
2016-12-15,3003.7,2992.81,3017.11,2992.81,0.39%
2016-12-16,2998.23,3009.79,3011.51,2993.06,-0.17%
2016-12-19,3003.23,2998.85,3009.86,2997.52,0.19%
2016-12-20,3013.96,3008.25,3016.35,3007.72,0.37%
2016-12-21,3006.25,3013.28,3014.21,3006.25,-0.25%
2016-12-22,3000.39,3002.91,3003.31,2993.89,-0.19%
2016-12-23,3003.82,2999.04,3003.82,2997.19,0.12%
2016-12-27,3009.45,3005.87,3015.95,3005.87,0.23%
2016-12-28,2983.97,3010.9,3012.35,2982.91,-0.84%
2016-12-29,2982.9,2983.16,2989.79,2976.66,-0.03%
2016-12-30,2968.69,2985.66,2988.32,2961.8,-0.47%
2017-01-03,2992.76,2984.54,3000.84,2975.92,0.85%
2017-01-04,3009.71,2997.51,3012.36,2997.51,0.58%
2017-01-05,3007.04,3005.98,3010.35,2995.64,-0.08%
2017-01-06,3017.36,3009.54,3024.11,3000.26,0.35%
2017-01-09,3005.77,3012.0,3014.52,3005.77,-0.36%
2017-01-10,3005.49,3006.55,3019.27,3000.72,0.00%
2017-01-11,3013.68,3004.81,3013.68,2994.48,0.28%
2017-01-12,3006.91,3007.84,3008.76,2985.45,-0.22%
2017-01-13,3012.19,3009.67,3017.62,3008.08,0.18%
2017-01-17,3002.18,3003.77,3007.74,2995.43,-0.29%
2017-01-18,3007.2,3003.49,3007.33,2995.81,0.18%
2017-01-19,2996.06,3006.91,3010.09,2989.05,-0.36%
2017-01-20,3005.84,3004.12,3013.38,2997.5,0.34%
2017-01-23,2996.92,3000.36,3005.65,2986.07,-0.27%
2017-01-24,3016.34,3000.21,3022.3,2998.62,0.66%
2017-01-25,3040.27,3027.7,3041.86,3027.7,0.80%
2017-01-26,3037.73,3040.25,3043.42,3034.29,-0.07%
2017-01-27,3034.8,3040.49,3040.49,3030.7,-0.09%
2017-01-30,3015.7,3022.44,3022.44,2998.64,-0.60%
2017-01-31,3012.77,3006.29,3013.03,2997.3,-0.09%
2017-02-01,3013.41,3021.34,3025.97,3003.89,0.03%
2017-02-02,3014.71,3009.3,3018.94,3002.69,0.05%
2017-02-03,3036.37,3024.61,3037.56,3023.81,0.73%
2017-02-06,3029.17,3031.42,3033.93,3023.88,-0.21%
2017-02-07,3029.55,3033.24,3037.87,3025.71,0.02%
2017-02-08,3031.37,3024.64,3032.96,3019.09,0.07%
2017-02-09,3048.52,3033.73,3052.75,3033.6,0.58%
2017-02-10,3059.07,3054.05,3063.16,3052.46,0.36%
2017-02-13,3074.18,3065.6,3078.67,3065.2,0.52%
2017-02-14,3086.3,3071.12,3086.3,3065.97,0.40%
2017-02-15,3101.32,3083.37,3104.1,3082.31,0.50%
2017-02-16,3098.39,3101.56,3103.8,3087.44,-0.09%
2017-02-17,3103.38,3092.56,3103.38,3088.07,0.17%
2017-02-21,3120.95,3107.09,3122.66,3107.09,0.60%
2017-02-22,3117.22,3114.98,3120.26,3111.29,-0.11%
2017-02-23,3118.25,3123.13,3124.18,3106.77,0.04%
2017-02-24,3122.57,3107.27,3122.57,3103.58,0.15%
2017-02-27,3124.99,3118.92,3127.23,3114.57,0.11%
2017-02-28,3116.52,3119.81,3122.05,3110.45,-0.26%
2017-03-01,3158.94,3137.98,3165.53,3137.98,1.37%
2017-03-02,3140.05,3157.06,3157.06,3137.81,-0.59%
2017-03-03,3141.34,3138.44,3142.4,3131.19,0.05%
2017-03-06,3130.17,3130.04,3134.79,3120.55,-0.33%
2017-03-07,3120.79,3123.82,3129.62,3116.97,-0.29%
2017-03-08,3113.38,3122.34,3126.69,3110.74,-0.23%
2017-03-09,3115.59,3113.74,3121.12,3101.89,0.08%
2017-03-10,3125.44,3125.31,3131.1,3112.79,0.33%
2017-03-13,3125.74,3123.24,3126.93,3119.16,0.04%
2017-03-14,3114.78,3118.99,3118.99,3105.3,-0.34%
2017-03-15,3140.69,3120.94,3146.88,3119.1,0.84%
2017-03-16,3135.26,3143.55,3144.08,3129.73,-0.16%
2017-03-17,3130.75,3137.99,3140.62,3129.96,-0.13%
2017-03-20,3123.68,3129.87,3131.71,3118.68,-0.20%
2017-03-21,3084.57,3131.02,3134.44,3081.8,-1.24%
2017-03-22,3090.07,3082.96,3094.54,3074.28,0.19%
2017-03-23,3086.62,3086.62,3103.59,3081.49,-0.10%
2017-03-24,3083.69,3092.11,3099.74,3072.78,-0.09%
2017-03-27,3079.67,3063.23,3084.01,3054.15,-0.10%
2017-03-28,3101.73,3077.01,3108.57,3074.12,0.73%
2017-03-29,3104.73,3098.68,3107.75,3093.95,0.11%
2017-03-30,3113.64,3104.7,3116.66,3101.15,0.30%
2017-03-31,3106.25,3109.01,3116.24,3106.12,-0.23%
2017-04-03,3100.24,3104.84,3109.58,3081.71,-0.17%
2017-04-04,3101.79,3094.69,3102.19,3089.31,0.06%
2017-04-05,3091.91,3109.91,3125.42,3088.75,-0.31%
2017-04-06,3097.66,3092.8,3106.46,3086.36,0.20%
2017-04-07,3094.74,3096.19,3105.65,3088.43,-0.08%
2017-04-10,3096.1,3096.1,3108.18,3088.61,0.07%
2017-04-11,3091.34,3091.47,3093.18,3069.54,-0.14%
2017-04-12,3079.36,3088.95,3089.61,3074.5,-0.38%
2017-04-13,3058.06,3075.27,3083.54,3058.06,-0.68%
2017-04-17,3083.29,3061.77,3083.43,3061.64,0.86%
2017-04-18,3074.08,3074.47,3082.09,3063.97,-0.29%
2017-04-19,3068.54,3079.83,3087.44,3064.47,-0.17%
2017-04-20,3091.35,3074.16,3098.7,3071.79,0.75%
2017-04-21,3081.74,3089.61,3091.58,3076.23,-0.30%
2017-04-24,3114.32,3109.2,3117.99,3107.76,1.09%
2017-04-25,3132.91,3123.6,3138.03,3123.21,0.61%
2017-04-26,3131.04,3133.14,3145.21,3130.26,-0.05%
2017-04-27,3132.58,3133.76,3136.91,3124.59,0.06%
2017-04-28,3126.26,3138.71,3138.71,3123.9,-0.19%
2017-05-01,3130.75,3131.01,3138.88,3126.16,0.17%
2017-05-02,3134.26,3134.12,3136.48,3127.18,0.12%
2017-05-03,3129.9,3127.8,3132.13,3119.02,-0.13%
2017-05-04,3131.44,3131.83,3133.93,3119.38,0.06%
2017-05-05,3143.98,3134.94,3143.98,3131.01,0.41%
2017-05-08,3143.23,3143.88,3145.85,3136.02,0.00%
2017-05-09,3139.66,3145.81,3148.83,3133.76,-0.10%
2017-05-10,3142.9,3139.23,3143.03,3133.99,0.11%
2017-05-11,3135.79,3136.31,3137.49,3119.16,-0.22%
2017-05-12,3130.91,3132.88,3132.88,3126.07,-0.15%
2017-05-15,3144.95,3134.09,3147.31,3133.95,0.48%
2017-05-16,3142.56,3147.67,3149.24,3136.54,-0.07%
2017-05-17,3085.07,3118.97,3121.58,3084.02,-1.82%
2017-05-18,3096.16,3081.77,3109.25,3079.15,0.37%
2017-05-19,3116.81,3103.33,3126.49,3102.02,0.68%
2017-05-22,3132.02,3123.12,3133.98,3122.73,0.52%
2017-05-23,3137.48,3135.65,3140.62,3131.59,0.18%
2017-05-24,3145.03,3141.11,3146.6,3136.66,0.25%
2017-05-25,3158.73,3151.41,3163.44,3149.45,0.45%
2017-05-26,3159.35,3157.65,3160.53,3154.64,0.03%
2017-05-30,3154.37,3152.8,3157.51,3149.79,-0.12%
2017-05-31,3152.63,3157.6,3158.12,3141.92,-0.05%
2017-06-01,3176.26,3157.43,3176.26,3154.56,0.76%
2017-06-02,3187.72,3177.53,3189.16,3172.82,0.37%
2017-06-05,3182.9,3185.12,3187.47,3180.55,-0.12%
2017-06-06,3173.72,3177.11,3182.73,3172.15,-0.28%
2017-06-07,3178.38,3176.94,3181.25,3167.54,0.16%
